Date,"Aggregated Generation Per Type, PSE SA CA, Actual Generation Output, Solar","Aggregated Generation Per Type, PSE SA CA, Actual Generation Output, Hydro Pumped Storage","Aggregated Generation Per Type, PSE SA CA, Actual Generation Output, Fossil Oil","Aggregated Generation Per Type, PSE SA CA, Actual Generation Output, Fossil Brown coal/Lignite","Aggregated Generation Per Type, PSE SA CA, Actual Generation Output, Fossil Gas","Aggregated Generation Per Type, PSE SA CA, Actual Generation Output, Fossil Hard coal","Aggregated Generation Per Type, PSE SA CA, Actual Generation Output, Biomass","Aggregated Generation Per Type, PSE SA CA, Actual Generation Output, Fossil Coal-derived gas","Aggregated Generation Per Type, PSE SA CA, Actual Generation Output, Hydro Run-of-river and poundage","Aggregated Generation Per Type, PSE SA CA, Actual Generation Output, Wind Onshore","Aggregated Generation Per Type, PSE SA CA, Actual Generation Output, Hydro Water Reservoir","Day Ahead Aggregated Generation, PSE SA CA, Scheduled Generation"
2020-04-09 00:00,0.0,0.0,197.9,3127.02,1185.51,6143.46,236.96,53.78,128.7,2321.82,0.0,13276.71
2020-04-09 01:00,0.0,0.0,199.24,3162.76,1185.91,6195.7,237.34,54.26,128.7,2215.31,0.0,13260.08
2020-04-09 02:00,0.0,0.0,199.59,3165.95,1182.37,6307.4,241.78,53.71,128.7,2250.38,0.0,13429.62
2020-04-09 03:00,0.0,0.0,201.59,3131.18,1182.67,6366.47,248.68,54.58,129.11,2160.86,0.0,13424.15
2020-04-09 04:00,0.0,0.0,202.26,3608.07,1260.77,6417.47,248.68,54.76,129.68,2014.76,0.0,14371.83
2020-04-09 05:00,0.0,0.0,199.6,4380.83,1186.54,6523.37,245.65,54.08,128.86,1981.37,0.0,15391.63
2020-04-09 06:00,0.0,16.77,196.61,4773.29,1196.65,6689.62,246.73,53.81,152.13,1447.95,50.05,15576.72
2020-04-09 07:00,0.0,124.77,190.74,4987.45,1189.5,6571.46,247.23,52.3,183.9,1026.6,57.2,15166.52
2020-04-09 08:00,0.0,30.05,186.95,4840.69,1178.93,6428.88,248.39,44.68,176.35,1356.86,57.2,14946.66
2020-04-09 09:00,0.0,19.94,183.58,4585.9,1184.71,6494.26,245.42,0.0,176.03,1761.09,57.2,15000.28
2020-04-09 10:00,0.0,17.4,182.74,4239.49,1174.15,6393.54,246.57,0.0,153.73,2147.61,7.15,14840.91
2020-04-09 11:00,0.0,0.0,185.84,3840.01,1176.87,6433.96,247.39,2.06,136.43,2360.27,0.0,14695.17
2020-04-09 12:00,0.0,0.0,186.08,3299.78,1170.99,6286.15,248.27,24.23,140.55,2819.35,0.0,14416.67
2020-04-09 13:00,0.0,0.0,185.25,3133.81,1166.8,6089.37,246.35,29.54,138.3,3200.42,0.0,14306.21
2020-04-09 14:00,0.0,0.0,184.95,3167.3,1173.01,6129.65,248.07,35.36,138.26,3331.85,0.0,14373.79
2020-04-09 15:00,0.0,0.0,185.13,3211.87,1176.34,6225.87,247.86,36.15,138.2,3298.59,0.0,14303.59
2020-04-09 16:00,0.0,62.36,188.74,3275.26,1179.56,6284.65,245.54,43.23,156.33,2910.23,0.0,14265.31
2020-04-09 17:00,0.0,209.26,193.8,4078.54,1213.53,6354.2,244.63,51.55,189.74,2496.82,50.05,15303.53
2020-04-09 18:00,0.0,243.69,196.43,4830.64,1266.29,6711.83,248.8,52.68,181.14,2255.34,57.13,15755.87
2020-04-09 19:00,0.0,21.17,200.69,4600.93,1203.29,6527.38,246.58,52.84,162.9,2070.35,7.15,14685.6
2020-04-09 20:00,0.0,29.66,201.26,3528.44,1170.43,6226.76,248.32,53.53,138.55,1969.83,0.0,13632.51
2020-04-09 21:00,0.0,4.29,202.25,3344.0,1176.21,6179.45,247.6,53.35,132.38,1764.13,0.0,13191.84
2020-04-09 22:00,0.0,0.0,204.68,3149.91,1190.51,6145.42,272.05,54.2,133.56,1571.71,0.0,13093.74
2020-04-09 23:00,0.0,0.0,211.2,3459.15,1200.02,6130.37,264.36,53.81,133.3,1325.74,0.0,13051.13
2020-04-10 00:00,0.0,0.0,212.03,3608.94,1199.21,6187.46,263.98,53.26,133.3,1047.87,0.0,13009.31
2020-04-10 01:00,0.0,0.0,212.18,3392.39,1198.46,6230.48,264.1,53.54,133.18,930.52,0.0,12697.02
2020-04-10 02:00,0.0,0.0,212.14,3124.73,1200.25,6256.01,268.84,53.89,132.43,770.02,0.0,12466.31
2020-04-10 03:00,2.9,0.0,212.28,3166.84,1196.17,6163.66,275.1,53.89,133.26,649.09,0.0,12361.8
2020-04-10 04:00,69.69,0.0,212.61,3726.32,1190.23,6082.63,279.97,54.15,133.2,535.77,0.0,12903.72
2020-04-10 05:00,173.48,0.0,207.61,4541.94,1194.28,6216.51,306.63,53.6,132.88,387.62,0.0,13875.81
2020-04-10 06:00,308.74,31.0,202.03,4704.11,1235.15,6463.01,307.59,54.08,145.68,161.12,50.05,14248.79
2020-04-10 07:00,720.78,295.11,199.01,4356.91,1278.18,6860.74,305.59,53.38,187.8,162.05,57.16,14123.26
2020-04-10 08:00,1093.92,359.82,200.09,4560.51,1349.67,6676.7,308.84,52.83,192.26,260.79,56.78,14020.29
2020-04-10 09:00,1183.88,69.62,197.89,5022.68,1381.67,6520.5,306.1,53.14,192.93,300.38,56.7,14130.52
2020-04-10 10:00,1232.74,0.0,195.15,5117.18,1340.41,6332.92,307.18,52.91,192.9,291.43,56.7,13969.18
2020-04-10 11:00,1160.04,0.0,193.49,4936.33,1343.66,6379.81,305.85,52.73,192.98,335.37,56.7,13771.55
2020-04-10 12:00,952.3,0.0,191.19,4740.93,1346.0,6306.61,309.03,51.96,170.41,419.87,7.09,13475.26
2020-04-10 13:00,634.7,0.0,187.28,4679.76,1342.41,6291.12,307.49,46.13,166.31,482.59,0.0,13426.61
2020-04-10 14:00,380.36,0.0,184.93,4783.52,1343.69,6312.79,306.57,48.73,150.16,508.17,0.0,13490.18
2020-04-10 15:00,164.99,0.0,185.33,4825.87,1347.69,6333.49,304.0,48.46,147.01,477.55,0.0,13466.9
2020-04-10 16:00,41.37,0.14,188.91,4914.98,1348.97,6326.02,307.96,48.06,160.98,420.04,0.0,13696.19
2020-04-10 17:00,1.45,70.41,193.18,5042.73,1420.57,6595.64,308.17,48.49,162.13,464.48,49.61,14419.12
2020-04-10 18:00,0.0,155.94,195.45,5153.86,1456.77,7138.7,307.37,50.53,196.39,496.77,56.7,15298.39
2020-04-10 19:00,0.0,20.89,194.66,4796.58,1385.12,6671.53,307.57,51.86,193.28,510.2,7.09,14486.3
2020-04-10 20:00,0.0,0.0,195.48,3968.0,1383.92,6325.04,306.35,52.05,184.35,510.6,0.0,13209.45
2020-04-10 21:00,0.0,0.0,198.0,3333.23,1359.31,5978.12,307.6,52.43,136.38,610.33,0.0,12162.95
2020-04-10 22:00,0.0,0.0,192.69,3522.48,1393.13,5897.57,269.26,53.16,130.48,608.64,0.0,12656.93
2020-04-10 23:00,0.0,0.0,186.59,3647.95,1332.81,5894.96,263.89,53.71,130.48,538.12,0.0,12658.42
2020-04-11 00:00,0.0,0.0,186.86,3680.61,1333.16,5929.64,263.91,52.7,129.48,524.71,0.0,12530.02
2020-04-11 01:00,0.0,0.0,187.14,3512.74,1334.47,5986.31,264.05,52.86,128.73,467.08,0.0,12364.08
2020-04-11 02:00,0.0,0.0,189.06,3452.31,1344.86,5980.52,262.58,52.89,129.6,454.22,0.0,12228.99
2020-04-11 03:00,1.54,0.0,189.03,3144.51,1351.73,5970.72,268.08,52.46,129.63,515.26,0.0,11919.01
2020-04-11 04:00,68.63,0.0,184.18,3182.33,1349.5,5920.47,303.36,53.13,129.6,563.66,0.0,11860.72
2020-04-11 05:00,250.07,39.69,187.01,3557.1,1362.73,5888.41,307.19,52.76,128.69,469.17,0.0,12134.79
2020-04-11 06:00,535.37,316.66,195.4,3972.06,1374.19,6035.8,306.92,52.14,151.44,196.17,0.0,12345.73
2020-04-11 07:00,861.81,315.34,197.66,4172.32,1352.91,6146.88,307.1,52.25,162.88,190.62,0.0,12423.12
2020-04-11 08:00,1140.97,330.62,197.44,4162.18,1353.39,6197.05,305.59,52.29,169.95,200.36,0.0,12490.83
2020-04-11 09:00,1218.22,286.23,197.3,4155.57,1396.61,6321.07,304.15,52.49,172.8,225.5,49.61,12599.15
2020-04-11 10:00,1230.93,178.24,195.43,4106.82,1399.74,6322.45,308.56,52.1,167.08,188.4,56.7,12563.51
2020-04-11 11:00,1068.2,221.03,192.85,4136.18,1369.17,6351.74,307.57,52.41,163.4,136.81,7.09,12438.8
2020-04-11 12:00,892.45,222.29,191.33,4013.51,1384.98,6354.16,306.18,52.73,131.99,121.8,0.0,12371.67
2020-04-11 13:00,680.83,145.42,189.89,4031.97,1392.68,6304.16,306.68,52.96,127.63,137.28,0.0,12301.8
2020-04-11 14:00,481.69,71.26,187.19,3957.74,1358.03,6155.84,306.49,52.95,128.38,102.66,0.0,12212.79
2020-04-11 15:00,217.64,244.38,187.66,3964.61,1411.39,6027.0,305.75,52.71,127.5,83.32,0.0,12234.1
2020-04-11 16:00,46.27,358.73,189.06,3976.39,1402.91,6229.77,305.71,52.65,140.81,85.0,0.0,12576.01
2020-04-11 17:00,1.22,545.35,195.33,4113.43,1380.0,6642.19,306.61,53.04,161.94,184.39,49.61,13696.49
2020-04-11 18:00,0.0,652.42,198.23,4526.22,1379.51,7107.28,308.34,53.44,167.36,430.49,56.7,14807.69
2020-04-11 19:00,0.0,296.33,200.03,4484.97,1357.56,6912.39,307.8,53.58,164.21,748.52,7.09,14645.73
2020-04-11 20:00,0.0,150.27,199.2,3901.83,1351.1,6377.18,306.02,53.23,135.81,1190.06,0.0,13662.39
2020-04-11 21:00,0.0,53.24,182.24,2789.64,1340.57,6229.01,285.73,53.49,126.23,1675.38,0.0,12660.53
2020-04-11 22:00,0.0,0.0,173.35,1678.15,1263.04,5962.91,273.21,53.53,125.29,2261.32,0.0,11209.78
2020-04-11 23:00,0.0,0.0,174.85,1377.39,1211.63,5616.8,274.44,54.49,125.1,2594.5,0.0,10761.56
2020-04-12 00:00,0.0,0.0,174.78,1231.37,1191.99,5454.51,274.14,52.51,125.1,2781.62,0.0,10536.91
2020-04-12 01:00,0.0,0.0,174.64,1166.84,1193.09,5446.41,273.39,51.7,125.1,2777.01,0.0,10546.94
2020-04-12 02:00,0.0,0.0,174.63,1180.03,1212.29,5461.11,275.51,52.68,125.1,2793.23,0.0,10519.06
2020-04-12 03:00,2.13,0.0,175.45,1201.35,1242.38,5495.89,276.85,52.93,125.1,2575.46,0.0,10451.22
2020-04-12 04:00,23.75,0.0,175.58,1201.38,1245.58,5526.97,274.33,52.73,125.13,2400.18,0.0,10300.01
2020-04-12 05:00,99.52,22.32,173.86,1313.44,1290.71,5825.09,269.04,53.46,125.4,1997.5,0.0,10183.04
2020-04-12 06:00,350.24,553.34,170.96,1584.49,1358.26,6208.39,260.92,52.5,136.69,1064.14,0.0,10617.55
2020-04-12 07:00,686.62,438.19,166.76,1926.9,1333.76,6509.88,262.1,52.16,142.8,650.22,0.0,10772.91
2020-04-12 08:00,970.97,287.67,162.21,1973.12,1304.95,6378.96,262.13,52.25,141.3,726.14,0.0,10507.09
2020-04-12 09:00,987.87,132.81,157.01,2025.42,1181.99,5891.02,261.49,52.54,135.4,951.6,0.0,10315.79
2020-04-12 10:00,1032.95,68.66,155.05,2012.52,959.4,5748.94,260.88,52.5,124.56,1183.34,0.0,10206.1
2020-04-12 11:00,1002.52,161.56,152.91,1882.25,946.31,5608.87,260.83,52.45,124.3,1259.94,0.0,10180.31
2020-04-12 12:00,870.66,162.45,155.45,1691.13,944.13,5598.95,263.79,53.08,125.24,1319.67,0.0,10142.24
2020-04-12 13:00,695.22,53.5,155.96,1633.13,943.41,5729.59,263.7,52.96,125.4,1369.32,0.0,10110.35
2020-04-12 14:00,535.24,0.0,155.49,1788.21,943.82,5742.48,262.01,53.34,122.78,1426.47,0.0,10251.5
2020-04-12 15:00,298.38,16.48,154.88,1951.68,943.75,5949.74,260.17,54.2,121.53,1366.22,0.0,10612.59
2020-04-12 16:00,90.38,226.14,153.68,2129.86,943.08,6354.23,265.23,53.16,164.36,1124.91,0.0,11206.02
2020-04-12 17:00,3.3,455.14,152.58,2155.04,955.87,6836.78,274.98,52.81,170.56,1209.23,49.61,12110.67
2020-04-12 18:00,0.0,464.61,153.19,2450.34,960.28,7024.99,272.98,53.36,170.63,1716.62,56.7,13023.75
2020-04-12 19:00,0.0,207.01,153.29,2208.86,960.16,6618.15,269.4,53.79,152.08,2147.96,56.7,12823.09
2020-04-12 20:00,0.0,64.02,154.7,2064.54,959.66,6215.12,265.49,53.75,133.4,2343.17,7.09,12150.35
2020-04-12 21:00,0.0,7.52,156.39,1634.67,953.39,5656.65,261.01,52.26,128.83,2721.46,0.0,11296.39
2020-04-12 22:00,0.0,0.0,156.99,1203.85,928.11,5308.97,262.42,52.71,119.65,3053.61,0.0,10791.64
2020-04-12 23:00,0.0,0.0,157.55,1143.07,924.29,5233.01,262.57,53.46,117.4,2983.72,0.0,10602.64
2020-04-13 00:00,0.0,0.0,157.91,1146.66,925.83,5229.89,263.7,52.99,117.4,2835.19,0.0,10618.52
2020-04-13 01:00,0.0,0.0,159.71,1154.27,924.29,5262.43,260.37,53.36,117.4,2760.98,0.0,10649.82
2020-04-13 02:00,2.41,0.0,158.99,1165.21,926.01,5274.94,262.58,53.04,117.4,2794.3,0.0,10690.24
2020-04-13 03:00,21.01,0.0,159.78,1144.28,925.76,5252.09,262.94,52.74,117.44,2938.57,0.0,10730.22
2020-04-13 04:00,66.56,0.0,160.89,1156.55,925.5,5302.4,264.81,52.43,117.41,2919.41,0.0,10736.89
2020-04-13 05:00,99.44,0.0,157.5,1161.02,926.24,5394.73,270.62,53.38,123.06,2801.84,0.0,10731.58
2020-04-13 06:00,139.41,30.21,155.69,1188.14,927.24,5315.35,259.31,52.78,142.84,3130.41,0.0,11001.18
2020-04-13 07:00,310.21,363.61,157.06,1163.03,929.21,5250.06,262.15,52.26,131.75,3291.82,0.0,11455.88
2020-04-13 08:00,647.08,446.52,160.55,1157.65,929.69,5203.64,262.56,53.05,130.75,3680.21,0.0,11742.53
2020-04-13 09:00,577.69,484.94,174.71,1156.87,931.02,5228.76,263.65,53.03,121.63,3868.95,0.0,11924.36
