Date,Go(t)[W/m2] Krak�w,Go(t)[W/m2] Wroc�aw,Go(t)[W/m2] Szczecin,Go(t)[W/m2] Gda�sk,Go(t)[W/m2] Warszawa
2019-04-20 00:00,0.0,0.0,0.0,0.0,0.0
2019-04-20 00:00,0.0,0.0,0.0,0.0,0.0
2019-04-20 01:00,0.0,0.0,0.0,8.96,0.0
2019-04-20 02:00,197.73,200.71,2.28,209.49,204.11
2019-04-20 04:00,418.51,416.63,207.3,409.95,414.26
2019-04-20 05:00,624.19,617.8,412.26,596.71,610.05
2019-04-20 06:00,800.81,790.54,603.21,757.08,778.17
2019-04-20 07:00,936.35,923.1,892.79,880.16,907.19
2019-04-20 08:00,1021.61,1006.5,971.97,957.6,988.36
2019-04-20 09:00,1050.81,1035.07,999.11,984.15,1016.18
2019-04-20 10:00,1022.0,1006.9,972.39,958.03,988.78
2019-04-20 11:00,937.15,923.93,893.66,881.05,908.04
2019-04-20 12:00,802.07,791.83,768.3,758.46,779.49
2019-04-20 13:00,625.98,619.62,604.87,598.65,611.92
2019-04-20 14:00,420.89,419.06,414.52,412.5,416.73
2019-04-20 15:00,200.78,203.8,210.23,212.73,207.26
2019-04-20 16:00,0.0,0.0,5.93,12.94,0.0
2019-04-20 17:00,0.0,0.0,0.0,0.0,0.0
2019-04-20 18:00,0.0,0.0,0.0,0.0,0.0
2019-04-20 19:00,0.0,0.0,0.0,0.0,0.0
2019-04-20 20:00,0.0,0.0,0.0,0.0,0.0
2019-04-20 21:00,0.0,0.0,0.0,0.0,0.0
2019-04-20 22:00,0.0,0.0,0.0,0.0,0.0
2019-04-20 23:00,0.0,0.0,0.0,0.0,0.0
2019-04-21 00:00,0.0,0.0,0.0,0.0,0.0
2019-04-21 01:00,0.0,0.0,0.0,0.0,0.0
2019-04-21 02:00,0.0,0.0,8.73,15.76,0.53
2019-04-21 03:00,203.81,206.88,213.41,215.94,210.39
2019-04-21 04:00,424.2,422.43,418.02,416.05,420.18
2019-04-21 05:00,629.53,623.25,608.65,602.48,615.62
2019-04-21 06:00,805.83,795.68,772.33,762.57,783.44
2019-04-21 07:00,941.13,928.01,897.96,885.43,912.24
2019-04-21 08:00,1026.24,1011.25,976.99,962.73,993.27
2019-04-21 09:00,1055.39,1039.77,1004.08,989.24,1021.03
2019-04-21 10:00,1026.63,1011.65,977.41,963.16,993.67
2019-04-21 11:00,941.92,928.82,898.81,886.3,913.07
2019-04-21 12:00,807.08,796.95,773.67,763.93,784.75
2019-04-21 13:00,631.29,625.04,610.52,604.39,617.46
2019-04-21 14:00,426.56,424.83,420.51,418.57,422.62
2019-04-21 15:00,206.83,209.95,216.57,219.14,213.51
2019-04-21 16:00,0.0,0.0,12.63,19.7,4.38
2019-04-21 17:00,0.0,0.0,0.0,0.0,0.0
2019-04-21 18:00,0.0,0.0,0.0,0.0,0.0
2019-04-21 19:00,0.0,0.0,0.0,0.0,0.0
2019-04-21 20:00,0.0,0.0,0.0,0.0,0.0
2019-04-21 21:00,0.0,0.0,0.0,0.0,0.0
2019-04-21 22:00,0.0,0.0,0.0,0.0,0.0
2019-04-21 23:00,0.0,0.0,0.0,0.0,0.0
2019-04-22 00:00,0.0,0.0,0.0,0.0,0.0
2019-04-22 01:00,0.0,0.0,0.0,0.0,0.0
2019-04-22 02:00,0.0,0.0,15.4,22.5,7.12
2019-04-22 03:00,209.83,212.99,219.72,222.32,216.61
2019-04-22 04:00,429.83,428.16,423.96,422.07,426.02
2019-04-22 05:00,634.79,628.62,614.25,608.18,621.11
2019-04-22 06:00,810.78,800.74,777.64,767.98,788.64
2019-04-22 07:00,945.84,932.83,903.04,890.62,917.2
2019-04-22 08:00,1030.79,1015.93,981.93,967.78,998.08
2019-04-22 09:00,1059.89,1044.39,1008.97,994.23,1025.79
2019-04-22 10:00,1031.17,1016.31,982.34,968.2,998.48
2019-04-22 11:00,946.61,933.63,903.88,891.47,918.02
2019-04-22 12:00,812.0,801.99,778.96,769.31,789.92
2019-04-22 13:00,636.53,630.39,616.1,610.05,622.93
2019-04-22 14:00,432.15,430.52,426.41,424.56,428.43
2019-04-22 15:00,212.82,216.02,222.84,225.49,219.69
2019-04-22 16:00,0.0,1.51,19.26,26.4,10.93
2019-04-22 17:00,0.0,0.0,0.0,0.0,0.0
2019-04-22 18:00,0.0,0.0,0.0,0.0,0.0
2019-04-22 19:00,0.0,0.0,0.0,0.0,0.0
2019-04-22 20:00,0.0,0.0,0.0,0.0,0.0
2019-04-22 21:00,0.0,0.0,0.0,0.0,0.0
2019-04-22 22:00,0.0,0.0,0.0,0.0,0.0
2019-04-22 23:00,0.0,0.0,0.0,0.0,0.0
2019-04-23 00:00,0.0,0.0,0.0,0.0,0.0
2019-04-23 01:00,0.0,0.0,0.0,0.0,13.37
2019-04-23 02:00,0.0,4.18,22.0,29.17,222.5
2019-04-23 03:00,215.78,219.04,225.95,228.63,431.55
2019-04-23 04:00,435.39,433.81,429.83,428.02,626.3
2019-04-23 05:00,639.98,633.91,619.77,613.79,793.54
2019-04-23 06:00,815.65,805.72,782.87,773.3,921.88
2019-04-23 07:00,950.46,937.57,908.04,895.72,1002.62
2019-04-23 08:00,1064.12,1020.52,986.79,972.74,1030.28
2019-04-23 09:00,1035.44,1048.93,1013.77,999.14,1003.01
2019-04-23 10:00,951.03,1020.89,987.19,973.15,922.68
2019-04-23 11:00,816.65,938.36,908.86,896.56,794.8
2019-04-23 12:00,641.47,806.95,784.16,774.62,628.09
2019-04-23 13:00,437.45,635.65,621.59,615.64,433.93
2019-04-23 14:00,218.49,436.15,432.25,430.48,225.54
2019-04-23 15:00,0.0,222.03,229.04,231.76,17.15
2019-04-23 16:00,0.0,7.9,25.82,33.03,0.0
2019-04-23 17:00,0.0,0.0,0.0,0.0,0.0
2019-04-23 18:00,0.0,0.0,0.0,0.0,0.0
2019-04-23 19:00,0.0,0.0,0.0,0.0,0.0
2019-04-23 20:00,0.0,0.0,0.0,0.0,0.0
2019-04-23 21:00,0.0,0.0,0.0,0.0,0.0
2019-04-23 22:00,0.0,0.0,0.0,0.0,0.0
2019-04-23 23:00,0.0,0.0,0.0,0.0,0.0
2019-04-24 00:00,0.0,0.0,0.0,0.0,0.0
2019-04-24 01:00,2.12,0.0,0.0,35.49,19.83
2019-04-24 02:00,221.42,10.54,28.53,234.61,228.57
2019-04-24 03:00,440.64,225.01,232.11,433.65,437.24
2019-04-24 04:00,644.87,439.39,435.62,619.09,631.64
2019-04-24 05:00,820.23,639.12,625.21,778.32,798.57
2019-04-24 06:00,954.81,810.62,788.01,900.52,926.68
2019-04-24 07:00,1039.46,942.23,912.95,977.41,1007.26
2019-04-24 08:00,1068.45,1053.19,991.55,1003.76,1034.87
2019-04-24 09:00,1039.82,1025.2,1018.49,977.81,1007.65
2019-04-24 10:00,955.56,942.81,991.94,901.35,927.47
2019-04-24 11:00,821.42,811.63,913.76,779.62,799.81
2019-04-24 12:00,646.56,640.63,789.28,620.92,633.41
2019-04-24 13:00,442.9,441.46,627.01,436.08,439.59
2019-04-24 14:00,224.34,227.72,438.01,237.7,231.58
2019-04-24 15:00,5.76,13.96,235.16,39.31,23.57
2019-04-24 16:00,0.0,0.0,32.31,0.0,0.0
2019-04-24 17:00,0.0,0.0,0.0,0.0,0.0
2019-04-24 18:00,0.0,0.0,0.0,0.0,0.0
2019-04-24 19:00,0.0,0.0,0.0,0.0,0.0
2019-04-24 20:00,0.0,0.0,0.0,0.0,0.0
2019-04-24 21:00,0.0,0.0,0.0,0.0,0.0
2019-04-24 22:00,0.0,0.0,0.0,0.0,0.0
2019-04-24 23:00,0.0,0.0,0.0,0.0,0.0
2019-04-25 00:00,0.0,0.0,0.0,0.0,0.0
2019-04-25 01:00,8.34,16.58,0.0,42.02,26.22
2019-04-25 02:00,227.24,230.66,34.99,240.77,234.58
2019-04-25 04:00,446.05,444.67,238.2,439.45,442.86
2019-04-25 05:00,649.9,644.04,441.33,624.54,636.9
2019-04-25 06:00,824.94,815.24,630.57,783.48,803.52
2019-04-25 07:00,959.27,946.61,917.58,905.45,931.39
2019-04-25 08:00,1043.76,1029.25,996.04,982.19,1011.82
2019-04-25 09:00,1072.69,1057.56,1022.92,1008.49,1039.38
2019-04-25 10:00,1044.11,1029.62,996.42,982.59,1012.2
2019-04-25 11:00,960.0,947.37,918.37,906.27,932.16
2019-04-25 12:00,826.11,816.43,794.11,784.75,804.74
2019-04-25 13:00,651.56,645.74,632.12,626.34,638.64
2019-04-25 14:00,448.28,446.94,443.45,441.84,445.18
2019-04-25 15:00,230.12,233.59,240.96,243.82,237.55
2019-04-25 16:00,11.94,20.22,38.46,45.8,29.91
2019-04-25 17:00,0.0,0.0,0.0,0.0,0.0
2019-04-25 18:00,0.0,0.0,0.0,0.0,0.0
2019-04-25 19:00,0.0,0.0,0.0,0.0,0.0
2019-04-25 20:00,0.0,0.0,0.0,0.0,0.0
2019-04-25 21:00,0.0,0.0,0.0,0.0,0.0
2019-04-25 22:00,0.0,0.0,0.0,0.0,0.0
2019-04-25 23:00,0.0,0.0,0.0,0.0,0.0
2019-04-26 00:00,0.0,0.0,0.0,0.0,0.0
2019-04-26 01:00,0.0,0.0,0.0,0.0,0.0
2019-04-26 02:00,14.49,22.81,41.12,48.48,32.54
2019-04-26 03:00,232.98,236.49,243.96,246.86,240.51
2019-04-26 04:00,451.38,450.1,446.73,445.16,448.4
2019-04-26 05:00,654.86,649.1,635.63,629.91,642.08
2019-04-26 06:00,829.57,819.97,797.84,788.55,808.39
2019-04-26 07:00,963.64,951.1,922.32,910.3,936.01
2019-04-26 08:00,1047.97,1033.59,1000.63,986.89,1016.3
2019-04-26 09:00,1076.85,1061.83,1027.46,1013.14,1043.8
2019-04-26 10:00,1048.32,1033.95,1001.01,987.28,1016.67
2019-04-26 11:00,964.36,951.84,923.1,911.1,936.78
2019-04-26 12:00,830.71,821.14,799.07,789.8,809.59
2019-04-26 13:00,656.49,650.77,637.37,631.68,643.79
2019-04-26 14:00,453.58,452.34,449.05,447.52,450.68
2019-04-26 15:00,235.82,239.38,246.94,249.87,243.44
2019-04-26 16:00,18.05,26.41,44.81,52.21,36.19
2019-04-26 17:00,0.0,0.0,0.0,0.0,0.0
2019-04-26 18:00,0.0,0.0,0.0,0.0,0.0
2019-04-26 19:00,0.0,0.0,0.0,0.0,0.0
2019-04-26 20:00,0.0,0.0,0.0,0.0,0.0
2019-04-26 21:00,0.0,0.0,0.0,0.0,0.0
2019-04-26 22:00,0.0,0.0,0.0,0.0,0.0
2019-04-26 23:00,0.0,0.0,0.0,0.0,0.0
2019-04-27 00:00,0.0,0.0,0.0,0.0,0.0
2019-04-27 01:00,0.0,0.0,0.0,0.0,0.0
2019-04-27 02:00,20.57,28.96,47.44,54.86,38.78
2019-04-27 03:00,238.64,242.24,249.9,252.87,246.36
2019-04-27 04:00,456.64,455.45,452.28,450.8,453.86
2019-04-27 05:00,659.73,654.08,640.83,635.2,647.18
2019-04-27 06:00,834.11,824.63,802.73,793.54,813.17
2019-04-27 07:00,967.93,955.51,926.98,915.05,940.55
2019-04-27 08:00,1052.1,1037.84,1005.14,991.5,1020.68
2019-04-27 09:00,1080.92,1066.03,1031.91,1017.69,1048.13
2019-04-27 10:00,1052.44,1038.19,1005.51,991.88,1021.04
2019-04-27 11:00,968.64,956.24,927.75,915.84,941.3
2019-04-27 12:00,835.23,825.78,803.94,794.77,814.35
2019-04-27 13:00,661.34,655.72,642.55,636.94,648.86
2019-04-27 14:00,458.81,457.66,454.57,453.12,456.11
2019-04-27 15:00,241.45,245.09,252.84,255.84,249.25
2019-04-27 16:00,24.08,32.52,51.09,58.55,42.39
2019-04-27 17:00,0.0,0.0,0.0,0.0,0.0
2019-04-27 18:00,0.0,0.0,0.0,0.0,0.0
2019-04-27 19:00,0.0,0.0,0.0,0.0,0.0
2019-04-27 20:00,0.0,0.0,0.0,0.0,0.0
