Date,Installed capacity solar Poland,"Aggregated Generation Per Type, PSE SA CA, Actual Generation Output, Solar",Kraków - cloud,Kraków - wind,Kraków - temperature max,Kraków - wind max,Go(t)[W/m2] Krak�w,Go(t)[W/m2] Kraków ins Cloud
2019-04-20 00:00,730.1,0.0,42.0,6.0,8.0,6.0,0.0,0.0
2019-04-20 00:00,730.1,0.0,42.0,6.0,8.0,6.0,0.0,0.0
2019-04-20 01:00,730.1,0.0,42.0,6.0,6.0,6.0,0.0,0.0
2019-04-20 02:00,730.1,0.0,42.0,2.0,5.0,2.0,197.73,0.0
2019-04-20 03:00,730.1,0.0,42.0,4.0,5.0,4.0,,0.0
2019-04-20 04:00,730.1,0.0,42.0,2.0,3.0,2.0,418.51,0.0
2019-04-20 05:00,730.1,0.0,42.0,0.0,3.0,0.0,624.19,0.0
2019-04-20 06:00,730.1,0.0,42.0,2.0,2.0,2.0,800.81,0.0
2019-04-20 07:00,730.1,0.0,42.0,2.0,4.0,2.0,936.35,0.0
2019-04-20 08:00,730.1,0.0,,,,,1021.61,
2019-04-20 09:00,730.1,0.0,,,,,1050.81,
2019-04-20 10:00,730.1,0.0,,,,,1022.0,
2019-04-20 11:00,730.1,0.0,,,,,937.15,
2019-04-20 12:00,730.1,0.0,,,,,802.07,
2019-04-20 13:00,730.1,0.0,,,,,625.98,
2019-04-20 14:00,730.1,0.0,,,,,420.89,
2019-04-20 15:00,730.1,0.0,1.0,20.0,21.0,20.0,200.78,748.6625751700001
2019-04-20 16:00,730.1,0.0,,,,,0.0,
2019-04-20 17:00,730.1,0.0,1.0,18.0,20.0,18.0,0.0,748.6625751700001
2019-04-20 18:00,730.1,0.0,20.0,20.0,19.0,20.0,0.0,0.0
2019-04-20 19:00,730.1,0.0,76.0,20.0,17.0,20.0,0.0,0.0
2019-04-20 20:00,730.1,0.0,95.0,15.0,16.0,15.0,0.0,0.0
2019-04-20 21:00,730.1,0.0,100.0,13.0,14.0,13.0,0.0,0.0
2019-04-20 22:00,730.1,0.0,100.0,13.0,12.0,13.0,0.0,0.0
2019-04-20 23:00,730.1,0.0,84.0,9.0,11.0,9.0,0.0,0.0
2019-04-21 00:00,730.1,0.0,,,,,0.0,
2019-04-21 01:00,730.1,0.0,,,,,0.0,
2019-04-21 02:00,730.1,0.0,8.0,6.0,6.0,6.0,0.0,0.0
2019-04-21 03:00,730.1,0.0,,,,,203.81,
2019-04-21 04:00,730.1,0.0,,,,,424.2,
2019-04-21 05:00,730.1,0.0,,,,,629.53,
2019-04-21 06:00,730.1,0.0,,,,,805.83,
2019-04-21 07:00,730.1,0.0,20.0,4.0,4.0,4.0,941.13,0.0
2019-04-21 08:00,730.1,0.0,,,,,1026.24,
2019-04-21 09:00,730.1,0.0,31.0,9.0,10.0,9.0,1055.39,615.109580406
2019-04-21 10:00,730.1,0.0,17.0,7.0,14.0,7.0,1026.63,688.8730910940001
2019-04-21 11:00,730.1,0.0,2.0,18.0,15.0,18.0,941.92,817.2147273840001
2019-04-21 12:00,730.1,0.0,,,,,807.08,
2019-04-21 13:00,730.1,0.0,1.0,17.0,16.0,17.0,631.29,820.8463283460002
2019-04-21 14:00,730.1,0.0,17.0,13.0,17.0,13.0,426.56,462.081427302
2019-04-21 15:00,730.1,0.0,19.0,17.0,18.0,17.0,206.83,455.706913398
2019-04-21 16:00,730.1,0.0,25.0,17.0,18.0,17.0,0.0,142.58343125000002
2019-04-21 17:00,730.1,0.0,21.0,9.0,18.0,9.0,0.0,147.139317026
2019-04-21 18:00,730.1,0.0,25.0,13.0,16.0,13.0,0.0,0.0
2019-04-21 19:00,730.1,0.0,10.0,15.0,16.0,15.0,0.0,0.0
2019-04-21 20:00,730.1,0.0,,,,,0.0,
2019-04-21 21:00,730.1,0.0,,,,,0.0,
2019-04-21 22:00,730.1,0.0,,,,,0.0,
2019-04-21 23:00,730.1,0.0,,,,,0.0,
2019-04-22 00:00,730.1,0.0,,,,,0.0,
2019-04-22 01:00,730.1,0.0,,,,,0.0,
2019-04-22 02:00,730.1,0.0,1.0,2.0,8.0,2.0,0.0,0.0
2019-04-22 03:00,730.1,0.0,17.0,2.0,8.0,2.0,209.83,0.0
2019-04-22 04:00,730.1,0.0,17.0,4.0,8.0,4.0,429.83,153.58796415400002
2019-04-22 05:00,730.1,0.0,100.0,4.0,7.0,4.0,634.79,1.049150000000001
2019-04-22 06:00,730.1,0.0,24.0,11.0,7.0,11.0,810.78,441.191237968
2019-04-22 07:00,730.1,0.0,94.0,18.0,7.0,18.0,945.84,49.96508264800002
2019-04-22 08:00,730.1,0.0,85.0,18.0,9.0,18.0,1030.79,173.1785748
2019-04-22 09:00,730.1,0.0,49.0,17.0,10.0,17.0,1059.89,497.9225237280001
2019-04-22 10:00,730.1,0.0,89.0,28.0,11.0,28.0,1031.17,145.86015399799993
2019-04-22 11:00,730.1,0.0,87.0,37.0,11.0,37.0,946.61,170.15452862200007
2019-04-22 12:00,730.1,0.0,76.0,20.0,12.0,20.0,812.0,265.10683931200003
2019-04-22 13:00,730.1,0.0,35.0,31.0,14.0,31.0,636.53,594.3716859500001
2019-04-22 14:00,730.1,0.0,33.0,26.0,16.0,26.0,432.15,407.967226414
2019-04-22 15:00,730.1,0.0,100.0,33.0,12.0,33.0,212.82,3.182650000000003
2019-04-22 16:00,730.1,0.0,100.0,35.0,13.0,35.0,0.0,1.064100000000001
2019-04-22 17:00,730.1,0.0,38.0,28.0,15.0,28.0,0.0,129.32322273600002
2019-04-22 18:00,730.1,0.0,21.0,31.0,15.0,31.0,0.0,0.0
2019-04-22 19:00,730.1,0.0,76.0,22.0,14.0,22.0,0.0,0.0
2019-04-22 20:00,730.1,0.0,32.0,26.0,13.0,26.0,0.0,0.0
2019-04-22 21:00,730.1,0.0,,,,,0.0,
2019-04-22 22:00,730.1,0.0,,,,,0.0,
2019-04-22 23:00,730.1,0.0,,,,,0.0,
2019-04-23 00:00,730.1,0.0,,,,,0.0,
2019-04-23 01:00,730.1,0.0,,,,,0.0,
2019-04-23 02:00,730.1,0.0,,,,,0.0,
2019-04-23 03:00,730.1,0.0,,,,,215.78,
2019-04-23 04:00,730.1,0.0,,,,,435.39,
2019-04-23 05:00,730.1,0.0,,,,,639.98,
2019-04-23 06:00,730.1,0.0,79.0,18.0,6.0,18.0,815.65,0.0
2019-04-23 07:00,730.1,0.0,91.0,22.0,7.0,22.0,950.46,93.25342763
2019-04-23 08:00,730.1,0.0,100.0,22.0,9.0,22.0,1064.12,4.078250000000003
2019-04-23 09:00,730.1,0.0,100.0,26.0,11.0,26.0,1035.44,5.320600000000004
2019-04-23 10:00,730.1,0.0,76.0,28.0,14.0,28.0,951.03,298.016595904
2019-04-23 11:00,730.1,0.0,12.0,35.0,14.0,35.0,816.65,718.6028329439999
2019-04-23 12:00,730.1,0.0,22.0,31.0,16.0,31.0,641.47,671.458373784
2019-04-23 13:00,730.1,0.0,19.0,29.0,17.0,29.0,437.45,463.055511314
2019-04-23 14:00,730.1,0.0,11.0,31.0,18.0,31.0,218.49,487.5545335540001
2019-04-23 15:00,730.1,0.0,38.0,35.0,17.0,35.0,0.0,132.76868215200005
2019-04-23 16:00,730.1,0.0,99.0,35.0,17.0,55.0,0.0,3.826677558000008
2019-04-23 17:00,730.1,0.0,96.0,26.0,16.0,26.0,0.0,0.0
2019-04-23 18:00,730.1,0.0,91.0,24.0,15.0,24.0,0.0,0.0
2019-04-23 19:00,730.1,0.0,92.0,24.0,16.0,24.0,0.0,0.0
2019-04-23 20:00,730.1,0.0,76.0,18.0,15.0,18.0,0.0,0.0
2019-04-23 21:00,730.1,0.0,100.0,18.0,15.0,18.0,0.0,0.0
2019-04-23 22:00,730.1,0.0,100.0,15.0,14.0,35.0,0.0,0.0
2019-04-23 23:00,730.1,0.0,100.0,20.0,13.0,20.0,0.0,0.0
2019-04-24 00:00,730.1,0.0,100.0,20.0,12.0,20.0,0.0,0.0
2019-04-24 01:00,730.1,0.0,100.0,11.0,12.0,11.0,2.12,0.0
2019-04-24 02:00,730.1,0.0,100.0,9.0,11.0,9.0,221.42,0.0
2019-04-24 03:00,730.1,0.0,100.0,11.0,11.0,11.0,440.64,1.1071000000000009
2019-04-24 04:00,730.1,0.0,100.0,7.0,11.0,7.0,644.87,1.1071000000000009
2019-04-24 05:00,730.1,0.0,100.0,9.0,12.0,9.0,820.23,3.224350000000003
2019-04-24 06:00,730.1,0.0,84.0,13.0,11.0,13.0,954.81,125.25645342400004
2019-04-24 07:00,730.1,0.0,100.0,15.0,12.0,15.0,1039.46,4.774050000000004
2019-04-24 08:00,730.1,0.0,99.0,17.0,13.0,17.0,1068.45,16.722733302000034
2019-04-24 09:00,730.1,0.0,100.0,17.0,15.0,17.0,1039.82,5.342250000000005
2019-04-24 10:00,730.1,0.0,100.0,18.0,14.0,18.0,955.56,5.342250000000005
2019-04-24 11:00,730.1,0.0,97.0,15.0,15.0,15.0,821.42,40.389418968000015
2019-04-24 12:00,730.1,0.0,100.0,17.0,15.0,17.0,646.56,4.777800000000004
2019-04-24 13:00,730.1,0.0,100.0,22.0,16.0,22.0,442.9,3.232800000000003
2019-04-24 14:00,730.1,0.0,87.0,26.0,16.0,26.0,224.34,103.79861308800004
2019-04-24 15:00,730.1,0.0,76.0,24.0,18.0,24.0,5.76,62.828480928000005
2019-04-24 16:00,730.1,0.0,76.0,22.0,18.0,22.0,0.0,62.828480928000005
2019-04-24 17:00,730.1,0.0,38.0,17.0,18.0,17.0,0.0,0.0
2019-04-24 18:00,730.1,0.0,21.0,20.0,18.0,20.0,0.0,0.0
2019-04-24 19:00,730.1,0.0,23.0,15.0,18.0,15.0,0.0,0.0
2019-04-24 20:00,730.1,0.0,,,,,0.0,
2019-04-24 21:00,730.1,0.0,,,,,0.0,
2019-04-24 22:00,730.1,0.0,,,,,0.0,
2019-04-24 23:00,730.1,0.0,,,,,0.0,
2019-04-25 00:00,730.1,0.0,,,,,0.0,
2019-04-25 01:00,730.1,0.0,,,,,8.34,
2019-04-25 02:00,730.1,0.0,,,,,227.24,
2019-04-25 03:00,730.1,0.0,,,,,,
2019-04-25 04:00,730.1,0.0,,,,,446.05,
2019-04-25 05:00,730.1,0.0,,,,,649.9,
2019-04-25 06:00,730.1,0.0,,,,,824.94,
2019-04-25 07:00,730.1,0.0,95.0,9.0,12.0,9.0,959.27,0.0
2019-04-25 08:00,730.1,0.0,38.0,9.0,15.0,9.0,1043.76,582.9146126960001
2019-04-25 09:00,730.1,0.0,20.0,17.0,20.0,17.0,1072.69,687.4896236000001
2019-04-25 10:00,730.1,0.0,5.0,13.0,21.0,13.0,1044.11,841.9061099500001
2019-04-25 11:00,730.1,0.0,19.0,18.0,22.0,18.0,960.0,774.3386540780001
2019-04-25 12:00,730.1,0.0,22.0,13.0,23.0,13.0,826.11,677.7914880000001
2019-04-25 13:00,730.1,0.0,16.0,17.0,24.0,17.0,651.56,707.4001920000001
2019-04-25 14:00,730.1,0.0,16.0,17.0,24.0,17.0,448.28,480.118405312
2019-04-25 15:00,730.1,0.0,,,,,230.12,
2019-04-25 16:00,730.1,0.0,4.0,15.0,25.0,15.0,11.94,513.864000832
2019-04-25 17:00,730.1,0.0,1.0,11.0,25.0,11.0,0.0,9.546677148
2019-04-25 18:00,730.1,0.0,,,,,0.0,
2019-04-25 19:00,730.1,0.0,,,,,0.0,
2019-04-25 20:00,730.1,0.0,,,,,0.0,
2019-04-25 21:00,730.1,0.0,,,,,0.0,
2019-04-25 22:00,730.1,0.0,,,,,0.0,
2019-04-25 23:00,730.1,0.0,,,,,0.0,
2019-04-26 00:00,730.1,0.0,,,,,0.0,
2019-04-26 01:00,730.1,0.0,,,,,0.0,
2019-04-26 02:00,730.1,0.0,,,,,14.49,
2019-04-26 03:00,730.1,0.0,,,,,232.98,
2019-04-26 04:00,730.1,0.0,,,,,451.38,
2019-04-26 05:00,730.1,0.0,,,,,654.86,
